시설종류,대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자
유치원,금천초교 병설유치원,충청북도 청주시 상당구 수영로 248 (금천동),충청북도 청주시 상당구 금천동213-1,36.62731084,127.5057346,청주시,상당,Y,,4~8,2020-07-17
초등학교,덕성초교,충청북도 청주시 청원구 공항로 113(율량동 1335),충청북도 청주시 청원구 율량동 656,36.66746085,127.4841848,청주시,청원,Y,15,4~8,2020-07-17
유치원,덕성 병설유치원,충청북도 청주시 청원구 율봉로116번길 63-34 (율량동),충청북도 청주시 청원구 율량동1866,36.66611217,127.4843329,청주시,청원,Y,,4~8,2020-07-17
초등학교,율량초교,충청북도 청주시 청원구 율봉로212번길 14 (율량동),충청북도 청주시 청원구 율량동1034,36.66809349,127.491652,청주시,청원,Y,8,4~8,2020-07-17
유치원,율량초교 병설유치원,충청북도 청주시 청원구 율봉로212번길 14 (율량동),충청북도 청주시 청원구 율량동1034,36.66809349,127.491652,청주시,청원,Y,3,4~8,2020-07-17
초등학교,미원초교 금관분교,충청북도 청주시 상당구 미원면 운암계원로 601,충청북도 청주시 상당구 미원면 금관리 306-1,36.62124066,127.7231505,청주시,상당,Y,2,4~8,2020-07-17
유치원,금관분교 병설유치원,충청북도 청주시 상당구 미원면 운암계원로 601,충청북도 청주시 상당구 미원면 금관리 306-1,36.62124066,127.7231505,청주시,상당,Y,,4~8,2020-07-17
초등학교,동화초등학교,충청북도 청주시 상당구 남일면 척산화당로 539,충청북도 청주시 상당구 남일면 화당리 361-1,36.54733924,127.4922621,청주시,상당,Y,4,4~8,2020-07-17
초등학교,대성초교,충청북도 청주시 청원구 대성로 300번길 34 (내덕동),충청북도 청주시 청원구 내덕2동 262,36.6540328,127.489791,청주시,청원,Y,4,4~8,2020-07-17
초등학교,새터초교,충청북도 청주시 청원구 새터로 224 (사천동),충청북도 청주시 청원구 사천동200,36.66719627,127.4710644,청주시,청원,Y,10,4~8,2020-07-17
유치원,새터초교 병설유치원,충청북도 청주시 청원구 새터로 224 (사천동),충청북도 청주시 청원구 사천동200,36.66719627,127.4710644,청주시,청원,Y,,4~8,2020-07-17
초등학교,갈원초등학교,충청북도 청주시 서원구 남이면 저산척북로 375,충청북도 청주시 서원구 남이면 갈원리 146,36.56867816,127.3965496,청주시,흥덕,Y,2,4~8,2020-07-17
유치원,갈원초교 병설유치원,충청북도 청주시 서원구 남이면 저산척북로 375,충청북도 청주시 서원구 남이면 갈원리 146,36.56867816,127.3965496,청주시,흥덕,Y,,4~8,2020-07-17
초등학교,강서초교,충청북도 청주시 흥덕구 비하로9번길 38 (비하동),충청북도 청주시 흥덕구 비하동121-1,36.62841105,127.4232318,청주시,흥덕,Y,13,4~8,2020-07-17
유치원,강서초교 병설유치원,충청북도 청주시 흥덕구 비하로9번길 38 (비하동),충청북도 청주시 흥덕구 비하동121-1,36.62841105,127.4232318,청주시,흥덕,Y,,4~8,2020-07-17
초등학교,교대부설초교,충청북도 청주시 서원구 청남로 2067 (수곡동),충청북도 청주시 서원구 수곡동 135,36.61740052,127.4852935,청주시,상당,Y,,4~8,2020-07-17
유치원,교대부설초 병설유치원,충청북도 청주시 서원구 청남로 2067 (수곡동),충청북도 청주시 서원구 수곡동 135,36.61740052,127.4852935,청주시,상당,Y,5,4~8,2020-07-17
초등학교,남성초교,충청북도 청주시 서원구 청남로 1964 (분평동),충청북도 청주시 서원구 분평동219-1,36.60824435,127.4836847,청주시,상당,Y,4,4~8,2020-07-17
유치원,남성초교 병설 유치원,충청북도 청주시 서원구 청남로 1964 (분평동),충청북도 청주시 서원구 분평동219-1,36.60824435,127.4836847,청주시,상당,Y,,4~8,2020-07-17
